,date,a2c,ddpg,td3,ppo,sac,dji_value,ensemble
646,2018-07-27,1450762.7580528976,1574152.1388169047,1395563.909038594,1418619.3964493244,1716928.517403458,1484118.631151685,1371550.073038636
647,2018-07-30,1440630.6229842436,1564504.5835347066,1387222.9684530075,1416334.8547865418,1700554.8583755407,1475708.171184511,1358531.114703038
648,2018-07-31,1445770.2287687827,1560803.7584001324,1392750.8529890447,1419600.674156098,1698321.8625199003,1482026.892834686,1371058.7059741486
649,2018-08-01,1440970.1359948064,1557683.6582914402,1391844.5893156775,1412764.63786331,1692774.4095010224,1477282.0431110389,1363104.152671639
650,2018-08-02,1444394.5645277177,1558633.2404245648,1398188.2862941313,1409030.6394854137,1694434.3871348398,1476835.3591472323,1369314.926719491
651,2018-08-03,1453965.9570773027,1568758.8975701423,1407463.7032196936,1416158.933192694,1700408.5162352824,1484790.3654756346,1376267.560096566
652,2018-08-06,1456066.0554125425,1570522.8714263905,1411099.5473460762,1419932.5342794228,1702009.7738672812,1487099.5233966387,1376977.652068917
653,2018-08-07,1465001.8101989287,1576523.4774307169,1419110.270611679,1423218.2921024347,1712254.9067704973,1494489.512095147,1386152.9627760092
654,2018-08-08,1460130.6293438063,1579242.1342220074,1413884.155531988,1430176.1918814539,1714999.3305487528,1491856.1039842,1384696.4078977744
655,2018-08-09,1456841.320062329,1578544.337241936,1408325.3698363192,1428850.2991882158,1714207.788724909,1487510.673093054,1383372.8223646325
656,2018-08-10,1449662.607094031,1568247.8198828576,1401270.0354173281,1422842.9521784715,1701440.4103262308,1476076.155857397,1376909.9958494343
657,2018-08-13,1441919.8966756694,1562966.4174143355,1395812.943662111,1417034.205873335,1695428.2146761997,1468761.3358014463,1372510.5261076132
658,2018-08-14,1448572.4591283938,1575651.6293925443,1404264.805816365,1430286.7006269747,1708758.535806276,1475305.2217036472,1384157.8601987998
659,2018-08-15,1445556.2524580427,1570596.5109956323,1402942.4196221104,1423567.6698353533,1691287.9578716878,1467286.6637047187,1373826.3585737387
660,2018-08-16,1462316.2938709103,1592553.5880491468,1419279.749886893,1440120.50411054,1718136.8957536058,1490397.1489672796,1390761.4628523032
661,2018-08-17,1466895.9402579996,1596580.4349905644,1425749.9150361097,1441367.497954246,1716853.2859553206,1496845.9351474566,1393890.5427854697
662,2018-08-20,1471643.6940556343,1600800.0565325115,1431677.4647817307,1447533.261949032,1724932.9396707069,1502057.2860224936,1391815.635246102
663,2018-08-21,1475690.9751542525,1603464.3932004052,1430644.1645105209,1446660.278479082,1729997.0506660636,1505765.9473976677,1390217.0951688923
664,2018-08-22,1470367.402252703,1600468.2051525828,1430876.169486294,1443242.2421345252,1726656.6667691018,1500594.2308977973,1390971.6969602744
665,2018-08-23,1474208.2023540721,1599224.5126304352,1428613.054086003,1437481.9561852617,1720617.9394952708,1496126.366232788,1388907.0596006552
666,2018-08-24,1482105.166013609,1606329.6747873584,1436291.500512188,1445625.963882013,1732891.9849468297,1503903.4734404697,1397154.9513776938
667,2018-08-27,1491828.886213531,1625771.4221182382,1448827.3023446533,1454827.1453598107,1752291.5503476164,1519023.4181072372,1411310.2414243857
668,2018-08-28,1493987.7903851047,1630725.0611185879,1450425.5502146792,1460689.2187145322,1755237.3996685895,1519861.8901474066,1417163.903152291
669,2018-08-29,1499445.1650735312,1636777.3823300763,1458104.9753004485,1469518.7442802864,1759398.447332785,1523392.7662937425,1426344.4184950034
670,2018-08-30,1489974.078130314,1630079.1476093845,1450367.2507053604,1463921.0687813174,1748404.243490361,1515366.0080792622,1422109.4987104577
