date,ensemble,dji
2017-06-30,1130726.5619543132,1244953.4222062065
2017-07-03,1135647.1563299235,1252512.995918001
2017-07-05,1137907.4397504863,1252448.8747880615
2017-07-06,1129964.4806353569,1243227.8462919707
2017-07-07,1134199.7277518786,1248726.7741707333
2017-07-10,1133667.857519922,1248387.376360396
2017-07-11,1134551.533078665,1248419.493871307
2017-07-12,1139322.3605647772,1255596.049181704
2017-07-13,1142249.034275299,1256817.6535151533
2017-07-14,1150192.4005558202,1261753.8416016751
2017-07-17,1151202.5754678647,1261286.2015314586
2017-07-18,1152802.3870697364,1258079.5755750658
2017-07-19,1156210.1280057544,1261929.3489928597
2017-07-20,1157508.167863184,1260239.990697311
2017-07-21,1157179.672200136,1258390.9559822679
2017-07-24,1155748.1876603144,1254489.8173253927
2017-07-25,1161259.2889686509,1260336.2293381616
2017-07-26,1160098.0340751666,1266026.3816879166
2017-07-27,1160098.0340751666,1271014.5044729328
2017-07-28,1160384.0409380875,1272983.1256647727
2017-07-31,1160536.94354324,1276529.0355396203
2017-08-01,1160796.5713129812,1280774.2415740222
2017-08-02,1160866.7608944925,1283825.177326814
2017-08-03,1161255.0255063237,1284400.1035504998
2017-08-04,1161382.7940825012,1288290.1946947568
2017-08-07,1161811.646647288,1289783.5450602416
2017-08-08,1161383.8390384126,1287854.5582435685
2017-08-09,1161121.315841494,1285717.9465247998
2017-08-10,1157499.2063765796,1273781.9633297748
2017-08-11,1156798.8579709055,1274616.449154051
2017-08-14,1159733.104281571,1282511.4344602898
2017-08-15,1159236.8365641562,1282819.2842191292
2017-08-16,1159631.383686133,1284328.3516644216
2017-08-17,1153198.7873789314,1268342.6009056456
2017-08-18,1151298.6815510867,1263897.9701846994
2017-08-21,1151762.5880045665,1265603.0455600559
2017-08-22,1158135.5298491195,1277040.5239846625
2017-08-23,1155040.668842091,1271920.628291404
2017-08-24,1155691.053831534,1270247.670426959
2017-08-25,1156304.9349759049,1272012.766824479
2017-08-28,1154899.845904753,1271705.4865250527
2017-08-29,1156227.0341239036,1275027.484958584
2017-08-30,1157432.4717162154,1276605.4569928874
2017-08-31,1159721.1191347104,1279851.7173244474
2017-09-01,1161684.8528904172,1282152.788921782
2017-09-05,1149958.5195916006,1268493.052082644
2017-09-06,1152024.4078015652,1271661.1825826967
2017-09-07,1149533.50685536,1270328.0780961195
2017-09-08,1152484.8794146518,1271086.7119265418
2017-09-11,1165945.3805171144,1286223.5125919434
2017-09-12,1170600.397858902,1289809.1707338407
2017-09-13,1171629.9106372625,1292102.0421156238
2017-09-14,1172296.848628952,1294743.6504421225
2017-09-15,1175406.0570235366,1298525.7720816145
2017-09-18,1181121.7569665203,1302200.038108224
2017-09-19,1182699.8588692665,1304500.5402461453
2017-09-20,1187044.2388098908,1306937.3709676152
2017-09-21,1187710.8499841653,1303825.8447332464
2017-09-22,1188066.537460394,1303263.6744004192
2017-09-25,1184806.4920683422,1300143.9479504987
2017-09-26,1183442.2000562134,1299457.6354655677
2017-09-27,1187536.7469907857,1302745.9219018305
2017-09-28,1189910.2375023938,1305106.9006294461
